Document_id,Tweet,Sentiment
58,Randy Nelson   #SayTheirNames #BlackLivesMatter,Neutral
59,#nftcollector #nftcommunity #nftartist #NFTwhale #WomenInNFTs #NFTartists #NFTdrop #NFTs #NFT  #BlackLivesMatter… https://t.co/jWBgR0u077,Neutral
60,"3. WHERE DO YOU THINK THAT FRUSTRATION HAS COME FROM? OTHERS SHOULD BE GLAD HE SLAPPED STRONG-WILLED @CHRISROCK!
So… https://t.co/UUJlTteYdl",Neutral
61,"If the @RonDeSantisFL hint of a civil war (Wink Wink) because of a @staceyabrams win, I see a riot if #StaceyAbrams… https://t.co/Cp8lYnHFwI",Neutral
62,#GeorgeFloyd #Protests #Police #BlackLivesMatter —&gt; Buffalo police cleared over pushing 75-year-old George Floyd pr… https://t.co/uasaWrnmpO,Neutral
63,"#blacktwitter #Blackhistory #BlackLivesMatter #historyMiami 
Black Miami Giants: M. Athalie Range and Garth Reeves,… https://t.co/VRVNveND1A",Neutral
64,"This was terrible! Racism is exhausting. 
https://t.co/PuobCZ5t6Q

#america 
#northcarolina 
#BlackLivesMatter",Neutral
65,"Musketeers of the @Twitch community, WE are LIVE 🔴 on @Rainbow6Game! #MadMusketeerTV #Xbox  #XboxAmbassadors… https://t.co/riruAO15iQ",Neutral
66,"Black couple sues North Carolina commission for racial discrimination over sale of historic school
#racism… https://t.co/dQEGBch4HR",Neutral
67,#democrats love putting #vaxxed #triplevaxxed #blm #BlackLivesmatter and or #voteblue in their twitter bios as if i… https://t.co/Pg3xaApUYX,Neutral
68,"First Nation Indigenous Warriors providing security with other groups at the BLM rally back in 2020...
In Winnipeg… https://t.co/jdHgTFmWzA",Neutral
69,"And @MySaintVincent I will say it again:

#WeStandWithLove
#BlackLivesMatter

Must I remind you all? Step it up, or… https://t.co/lV9jRDJM70",Neutral
70,@POTUS #ArrestThemAll and restore our country sense of security 🎶 🎵  🖤🚔🖤🖤🚔🖤🚔🚔🖤🖤🚔🖤🚔🖤🖤🚔🚔🖤🖤🚔🖤🚔🖤🚔🖤🚔👁👁👁👁👁👁… https://t.co/3iwy4wGt8T,Neutral
71,@r_u_vid Can you imagine if this was done to #BlackLivesMatter rioters?,Neutral
72,"Follow these Blue Wave candidates!

#wtpBLUE #Demvoice1 #Americans #ONEV1 #FreshResists #FreshVoicesRise #Dems4USA… https://t.co/I6EMRve2Ux",Neutral
73,The Illinois constitutional convention of 1847 adopted &amp; submitted to a popular referendum a provision that instruc… https://t.co/uIpogByuIT,Neutral
74,"ding! ding ding* Ding, DING. DING! ding? #PennState #BlackLivesMatter #JusticeForAll",Neutral
75,"Follow the Blue Wave running for office! 🇺🇸🫂

#wtpBLUE #Demvoice1 #Americans #ONEV1 #FreshResists #FreshVoicesRise… https://t.co/qW4QDy1CKI",Neutral
76,Every time I read or watch the news another young person of color has been killed before they’ve had a chance to re… https://t.co/5RRLL4w3bB,Neutral
77,People think this is patriotism. #WhiteFragility #WhiteRage #FragileMasculinity #EntitledResentment… https://t.co/Eq0Th7Cqpz,Neutral
78,@Ben64319554 @namibobami @minacious11 @toomuchgrease00 @KylePat11831145 @MrsLSavage1519 @DRsheet4Brains… https://t.co/eqtKQROMfJ,Neutral
79,#blacklivesmatter so why did the police arrest her without checking her ID and without a #warrant AND trashed her h… https://t.co/wboufIwszV,Neutral
80,"#Entertainment and #Media have made a bigger push in the last few years for more #Diversity, but is it enough? I th… https://t.co/7JpmmzlU3y",Neutral
81,The Sweet Inspirations were Elvis backup singers for 8 years but he also had them open up for his shows as well. En… https://t.co/YA3vsDdfNN,Neutral
82,Manuel Loggins Jr. #BlackLivesMatter,Neutral
83,Wendell Celestine   #SayTheirNames #BlackLivesMatter,Neutral
84,"Tue Jul 21 2020 Portland, Oregon - Flashbang thrown at press and legal observers WATCH: https://t.co/S6oWpRTkUF… https://t.co/w0AgNsDLkv",positive
85,"The 1967 GA of the United Presbyterian Church encouraged members ""to view the phenomenon of Black power within the… https://t.co/4X2i64Egbu",Neutral
86,"Say This 
I am Angel, I am Light.
I Shine irrespective of my skin Color.
#NFTCommunity #Metaverse #nftart… https://t.co/BYoSTnyc7D",Neutral
87,@GovInslee Wash. State Amend Art 4 Sec 2 “ all decisions of the court shall be given in writing &amp; the grounds of th… https://t.co/DOQ2s1CbQd,Neutral
88,"#BlackLivesMatter #BlackLivesMatter 

Black Lives Matter used donations to buy $6 million Southern California home:… https://t.co/sfgAS1ZOQJ",Neutral
89,"@baekmilac @PopBase Attention 🚨⚠️ 

Go .@lipaisbaddie account and liked alll tweets❗ you will get 10000000 million… https://t.co/dZ9hFxro2p",Neutral
90,"@PopBase Attention 🚨⚠️ 

Go .@lipaisbaddie account and liked alll tweets❗ you will get 10000000 million dollars 💵… https://t.co/XdyzVm0adU",Neutral
91,"@filhodadualipa Attention 🚨⚠️ 

Go .@lipaisbaddie account and liked alll tweets❗ you will get 10000000 million doll… https://t.co/6TVlbfb7Xe",Neutral
92,"@levilipa Attention 🚨⚠️ 

Go .@lipaisbaddie account and liked alll tweets❗ you will get 10000000 million dollars 💵… https://t.co/iAXkpMLAg8",Neutral
93,"@Antiwalt Attention 🚨⚠️ 

Go .@lipaisbaddie account and liked alll tweets❗ you will get 10000000 million dollars 💵… https://t.co/v8F9mmF9sW",Neutral
94,Anthony Hill #BlackLivesMatter,Neutral
95,"A common misconception is that all Arab Americans are Muslim. Approximately 25 percent practice Islam, and an estim… https://t.co/vw6DfpxUMk",Neutral
96,Don't get capitalism and community confused. Keep your spiritual vision sharp #BlackLivesMatter,Neutral
97,Michigan State House: Help free shukur brown - Sign the Petition! https://t.co/RHhIVceUdp via @Change… https://t.co/NiKnz8fpD0,Neutral
98,Others who BEEN activists without a corp backing will continue to fight #BlackLivesMatter,Neutral
99,"@coastbabyy @chartdata @Camila_Cabello @OfficialWillow Attention 🚨⚠️ 

Go .@lipaisbaddie account and liked alll twe… https://t.co/a5uCy6yAVj",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
