S.NO,tweet,sentiment
25,kalief browder saytheirnam blacklivesmatt,positive
26,fri jul 17 2020 chicago illinoi violent arrest made grant park watch httpstcojblvikvm98 httpstcokd8r3t6cbt,positive
27,doubl header musicvideo find httpstcog2pa5hiarf blacklivesmatt climatecrisi emiss httpstco23whgiavn7,positive
28,danrath blacklivesmatt herstori shepersist teamamerica fristblackwomanfirstladi firstblackwomanvp httpstcoahw2xzd8p5,negative
29,breonna taylor deserv perman instal sign chang petit honor famili httpstcopwy0gglfdf,negative
30,still blm believ yall need help blacklivesmatt blacktwitt httpstcofvqkihgvrl,negative
31,thank much support appreci guy best supportblackbusi support httpstcookdyfh8jfd,negative
32,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcoz0nyxh5z0p,negative
33,cgreenewfaa drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstcoghqcikh54o,negative
34,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcoocrorhpq0t,negative
35,michael brown jr blacklivesmatt,positive
36,marshablackburn crt differ skin hair eye color wtpblue demvoice1 american onev1 httpstcoolgjhgijqb,positive
37,ca love michaelemann marriott lol sure argument want make blacklivesmatt httpstcohuzje0wwo,positive
38,marshablackburn crt coloni still tri indoctrin u cultur 400 year hav httpstcok45td5plkr,positive
39,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcohvlvslxckj,positive
40,marshablackburn crt critic race theori attack wtpblue demvoice1 american httpstcov1mnpcskv9,positive
41,lol fact check nazibook comedi funni joke livealittl haha happi relax smile life live goodtim httpstcoeq9vouzuob,positive
42,blacklivesmatt blm cofound patrissecullor spoken report reveal organ pur httpstcocze1ds7vxo,negative
43,murderhornet everi song musictobemurderedbi themassacr makingamurder murderwasthecas httpstcozarcbzqvtw,negative
44,christian amp gentil cur cur tablet found israel revers cur yahsrael httpstcoik4i2urmgm,negative
45,ding ding ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,negative
46,know nigeriaborn tope awotona pour life save calendli one america wealth httpstcohj5quyktqg,positive
47,summerofsoul wonder film amaz talent amaz messag everyon must watch summerofsoul blacklivesmatt,positive
48,blm org scam knew self describ marxist organ strive corpor spon httpstcoen6ufo6hak,positive
49,look fastpac thriller littl bit romanc pick seventh novel avail amazon httpstcoiyvncrbjna,positive
50,nxbaafnkln look skin color support help sorri even though heard nam httpstcoefafmh1cjo,positive
51,gop michellesteelca youngkimca histori asian american lynch anglosaxon republican white nationalist httpstcolbenxlffq,positive
52,gnfskz sixthirti attent go lipaisbaddi account like alll tweet get 10000000 million httpstcopcy9mqqx2m,positive
53,clearli neither safe black speak black yet ill still say blacklivesmatt,positive
54,sun may 31 2020 dc washington dc polic tear ga protest outsid lafayett squar watch httpstcockd7gq7lxj,negative
55,gnfskz attent go lipaisbaddi account like alll tweet get 10000000 million dollar httpstcor41mw748eo,negative
56,gop famili separ border trump suffer sever trauma studi wtpblue demvoice1 american httpstcovuryie3xsu,negative
57,excel explan presid rweingarten crt attempt whitewash histori discredit httpstcojwx3ibyd7o,negative
58,randi nelson saytheirnam blacklivesmatt,positive
59,nftcollector nftcommun nftartist nftwhale womeninnft nftartist nftdrop nft nft blacklivesmatt httpstcojwbgr0u077,positive
60,3 think frustrat come other glad slap strongwil chrisrock httpstcouujltteydl,positive
61,rondesantisfl hint civil war wink wink staceyabram win see riot staceyabram httpstcocp8lynhfwi,positive
62,georgefloyd protest polic blacklivesmatt gt buffalo polic clear push 75yearold georg floyd pr httpstcouasawrnmpo,positive
63,blacktwitt blackhistori blacklivesmatt historymiami black miami giant athali rang garth reev httpstcovrvnvend1a,positive
64,terribl racism exhaust httpstcopuobcz5t6q america northcarolina blacklivesmatt,positive
65,musket twitch commun live rainbow6gam madmusketeertv xbox xboxambassador httpstcoriruao15iq,positive
66,black coupl sue north carolina commiss racial discrimin sale histor school racism httpstcodqegbch4hr,negative
67,democrat love put vax triplevax blm blacklivesmatt voteblu twitter bio httpstcopg3xaapuyx,negative
68,first nation indigen warrior provid secur group blm ralli back 2020 winnipeg httpstcojdhgtfmwza,negative
69,mysaintvinc say westandwithlov blacklivesmatt must remind step httpstcolv9jrdjm70,negative
70,potu arrestthemal restor countri sen secur httpstco3iwy4wgt8t,negative
71,r u vid imagin done blacklivesmatt rioter,negative
72,follow blue wave candid wtpblue demvoice1 american onev1 freshresist freshvoicesris dems4usa httpstcoi6emrve2ux,negative
73,illinoi constitut convent 1847 adopt amp submit popular referendum provis instruc httpstcouipogbyuit,negative
74,ding ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,negative
75,follow blue wave run offic wtpblue demvoice1 american onev1 freshresist freshvoicesris httpstcoqw4qdy1cki,negative
76,everi time read watch news anoth young person color kill chanc httpstco5rrll4w3bb,negative
77,peopl think patriot whitefragil whiterag fragilemasculin entitledresent httpstcoeq0th7cqpz,negative
78,ben64319554 namibobami minacious11 toomuchgrease00 kylepat11831145 mrslsavage1519 drsheet4brain httpstcoeqtkqromfj,negative
79,blacklivesmatt polic arrest without check id without warrant trash h httpstcowboufiwszv,negative
80,entertain medium made bigger push last year diver enough th httpstco7jpmmzlu3i,positive
81,sweet inspir elvi backup singer 8 year also open show well en httpstcoya3vsddfnn,positive
82,manuel loggin jr blacklivesmatt,positive
83,wendel celestin saytheirnam blacklivesmatt,positive
84,tue jul 21 2020 portland oregon flashbang thrown press legal observ watch httpstcos6owprtkuf httpstcow0agnsdlkv,positive
85,1967 ga unit presbyterian church encourag member view phenomenon black power within httpstco4x2i64egbu,positive
86,say angel light shine irrespect skin color nftcommun metavers nftart httpstcobyostnyc7d,positive
87,govinsle wash state amend art 4 sec 2 decis court shall given write amp ground th httpstcodoq2s1cbqd,positive
88,blacklivesmatt blacklivesmatt black live matter use donat buy 6 million southern california home httpstcosfgas1zoqj,positive
89,baekmilac popbas attent go lipaisbaddi account like alll tweet get 10000000 million httpstcodz9hfxro2p,positive
90,popbas attent go lipaisbaddi account like alll tweet get 10000000 million dollar httpstcoxdyzvm0adu,positive
91,filhodadualipa attent go lipaisbaddi account like alll tweet get 10000000 million doll httpstco6tvlbfb7x,positive
92,levilipa attent go lipaisbaddi account like alll tweet get 10000000 million dollar httpstcoiaxkpmlag8,positive
93,antiwalt attent go lipaisbaddi account like alll tweet get 10000000 million dollar httpstcov8f9mmf9sw,positive
94,anthoni hill blacklivesmatt,positive
95,common misconcept arab american muslim approxim 25 percent practic islam estim httpstcovw6dfpxumk,negative
96,dont get capit commun confus keep spiritu vision sharp blacklivesmatt,neutral
97,michigan state hous help free shukur brown sign petit httpstcorhhivceudp via chang httpstconiknz8fpd0,neutral
98,other activist without corp back continu fight blacklivesmatt,neutral
99,coastbabyy chartdata camila cabello officialwillow attent go lipaisbaddi account like alll twe httpstcoa5ucy6yavj,neutral
100,mchooyah throw blacklivesmatt,neutral
101,meanwhil continu evad trial trump goon jan 6ther go unnot punishm httpstcole0qy7110u,neutral
102,whatev motiv clearli jealous black folk chang face 2020 elect n httpstcocall2kib5f,neutral
103,matter within corp blacklivesmatt decid use fund hous employe whatev tf httpstcowe4ysqemgz,neutral
104,ding ding ding amp ding ding ding pennstat blacklivesmatt justiceforal,neutral
105,pamelabelfield 1000 correct mayb u paid debt get repar u blacklivesmatt,neutral
106,podcast talk solut mental health stigma black commun tune httpstco5g3wlcgre0,neutral
107,nastynana16 wmur9 adamsextonwmur unionlead that awesom mean unless want cop soldier httpstcorq0akqriq4,neutral
108,tayyayswift chartdata morganwallen attent go lipaisbaddi account like alll tweet get httpstcofhqgzael9t,neutral
109,duaoiaa chartdata morganwallen attent go lipaisbaddi account like alll tweet get 100 httpstcol8otw2vbbq,neutral
110,podcast talk solut mental health stigma black commun tune httpstcotrwzj2tark,neutral
111,doja4vogu chartdata morganwallen attent go lipaisbaddi account like alll tweet get httpstcosgskatoiuy,neutral
112,themarxistbarb chartdata morganwallen attent go lipaisbaddi account like alll tweet httpstcoiwo2kefes2,neutral
113,chartdata morganwallen attent go lipaisbaddi account like alll tweet get 10000000 mil httpstcosq4f4n7ggu,neutral
114,nftcollector nftcommun nftartist nftwhale womeninnft nftartist nftdrop nft nft blacklivesmatt httpstcopxbg9oprnu,neutral
115,blacklivesmatt that right play sold judeochristian base fallaci equal ch httpstco5gjn31vwjl,neutral
116,right choos belong selfempower selflov selfbelief blm blmuk selfcar httpstcotz5b9ut6kf,neutral
117,rayshard brook blacklivesmatt,neutral
118,billclinton see support tplfisaterroristgroup drtedro racism blacklivesmatt votethemout dnc,neutral
119,judici bias public accept revolutionblackedout ironladi dgispr officialdgispr rterdogan httpstcoii4dtun5rp,neutral
120,judici burglari accept revolutionblackedout ironladi dgispr officialdgispr rterdogan mbsofksa httpstcoyaeikxdjzn,neutral
121,judici injustic public accept revolutionblackedout ironladi dgispr rterdogan mbsofksa httpstcoruqiybgbcx,neutral
122,blacklivesmatt time great exodu begin must decid whatwher want wind rush gener httpstco7hofnzftq0,neutral
123,sun may 31 2020 new york citi new york polic charg peac crowd watch httpstcopgumdk2n7u citi httpstcorppg0d9vci,neutral
124,earlier week blacklivesmatt founder face harsh critic recent report accus invol httpstcokt4g8r6xpm,neutral
125,keaux theatlant friend amp alreadi philadelphia mississippi twice year cluel httpstco2zct3crsgt,neutral
126,want high detail stringer twitch hmu get done smallstream twitchaffili httpstcoxiztfeaj67,neutral
127,podcast father releas latest episod iamkeemyh talk visibleminor favorit httpstcojznvkc5yqx,neutral
128,stephon clark blacklivesmatt,neutral
129,magazin collect kept one farit hasnt age 10 year ago say h httpstcoobffuvbyot,neutral
130,sweet peep love care transrightsarehumanright blacklivesmatt latino httpstco2hgosurini,neutral
131,senatorcantwel wash state amend art 4 sec 2 decis court shall given write amp ground httpstcoswulcdjmyb,neutral
132,believ blacklivesmatt httpstcob4lefo41yd,neutral
133,guyz hmu get lit overlay twitch hurri get done smallstream twitchaffili httpstco4ax6izwjrv,neutral
134,second sunday 45pm et blacklivesmatt come welcom hocomd uutwitt uusunday httpstcoyjemjbhcw8 httpstco4jg3dlxkjk,neutral
135,realli hope lesson peopl take elijah mcclain sad sweet rather httpstcojo76w4oynh,neutral
136,great emilianozapata anniversari today murder 1919 age 39 true warrior alway rememb httpstcoky7dzxkhdb,neutral
137,ding ding ding amp ding ding pennstat blacklivesmatt justiceforal,neutral
138,defund kensington polic blacklivesmatt defundthepolic,neutral
139,get mind told husband saw pictur iraqin palmsunday2022 rival pictur httpstcolwvxpbrp1r,neutral
140,rastafari soldier call support ini channel httpstconmhs5riwuq rasdawa liberationsound httpstco3nurwgpjdr,neutral
141,blacklivesmatt shaunk level sketchi aliciagarza docmellymel blklivesmatt nonprofit n httpstcouxeswmjbzb,neutral
142,come vibe tribe twitch twitchstream twitchaffili thetrib vibe blacklivesmatt httpstcodeeu9uu5fu,neutral
143,write hard mani rule break bend twist turn make someth uniqu httpstcojfmhjlsw95,neutral
144,sun may 31 2020 la vega nevada polic shove drag man street watch httpstcowlv1nguc1 httpstcofvtkk4p3uq,neutral
145,democrat republican neither blacklivesmatt vapingsavesl join human race putin httpstco80x4hrj0vc,neutral
146,teach keeangayamahtta blacklivesmatt black liber social movement cours pow httpstcoraxgjcizp,neutral
147,blacklivesmatt hocomd everywher uusunday uutwitt httpstcokylvapsyu6,neutral
148,recogn white privileg first absolut step toward understand racism easi httpstcormysnfypfk,neutral
149,world need love sweet love standupforukrain blacklivesmatt everychildmatt httpstcolojzfdk2lx,neutral
150,jacki robinson becam first african american play major leagu basebal twentieth centuri april 1 httpstco9cpjhofi5h,neutral
151,use imag afari woman victim tplf atroc amp talk tigray cruel amp inhuman httpstco1dl9x4nqbi,neutral
152,defund beverlyhillspolic blacklivesmatt,neutral
153,would allow happen uk bp plc davidlammi guardianaudio listen pension tell thei httpstcone8iys2yeu,neutral
154,let make world better safer place nft crypto love lgbtq racism respect eth opensea accept httpstcoz1senpheqz,neutral
155,propos hr6600 sanction cut ethiopia global financi system creat hindranc ethiopian httpstcoii9rxckebi,neutral
156,world foot support blacklivesmatt must question silenc request httpstcoou2jn4fdhu,neutral
157,macron must continu believ scienc competenceand reason thank tip good luck httpstcopyvq9lggss,neutral
158,upset blacklivesmatt,neutral
159,yet someon like kylerittenhous get away liter murder endrac antiracist antirac httpstcowdgqyrcg0i,neutral
160,black america make small portion u popul black buy power close 2 trillion make u httpstcoer1aea1uxm,neutral
161,blacklivesmatt hocomd everywher uusunday uutwitt httpstcopu92z4p5zi,neutral
162,polit correct unapologet black httpstco5eoaamgvbt blacklivesmatt httpstcof8uttczoq8,neutral
163,confeder gener robert e lee address proslaveri armi last time otd 1865 day httpstcoqfjd4uuk7k,neutral
164,sanction blunt ineffect polici tool impos insuffici cost target govern disprop httpstcolgj9supwqr,neutral
165,propos hr6600 sanction cut ethiopia global financi system creat hindranc ethiopian httpstcorumaoj6mat,neutral
166,grow bodi research show econom sanction dire consequ human popul sanction ca httpstcouaja3ul9q7,neutral
167,expert argu sanction violat intern law studi show gener effect achi httpstcoty7ps6aun,neutral
168,unit state world leader impos econom sanction follow eu conglomer httpstcodmssavvcv3,neutral
169,repmalinowski illadvis sanction bill drive ethiopia hand china limit trade httpstcodi8rzrzio9,neutral
170,blackwomen know dirti evil thing unheal unhealthi men black httpstco7pet7bsiqw,neutral
171,ding ding ding ding pennstat blacklivesmatt justiceforal,neutral
172,museum reclaim urban space morusnyc come open today sunday 7pm fight word politi httpstcootdwc1071o,neutral
173,hey corybook one took nbcsnl joy either confirmkbj justice4al scotu thurgoodmarshal httpstcowqz2w6mw0x,neutral
174,12 year old emmet till horribl tortur lynch innoc black 14 year old electrocut httpstcoqnrjod95ci,neutral
175,thank 10 may continu donat hit target rais 700 support kid httpstcosx2nnc92aj,neutral
176,fredtjoseph smith black ye action crimin matter race lesson elementari keep yo httpstcoosktimodxj,neutral
177,think blacklivesmatt dont think black peopl right exercis second amend rig httpstco3mmeszc0k4,neutral
178,russiawarcrim amp abiyahmedali 500daysoftigraygenocid must condemn level italymfa httpstco3gzsjlwzp8,neutral
179,arrest cop kill breonna taylor breonnataylor sayhernam blacklivesmatt,neutral
180,defund eightmilepolic blacklivesmatt,neutral
181,blacklivesmatt vidasnegrasimportam know look gang member result httpstco1wuee8dfwr,neutral
182,gregori gunn blacklivesmatt,neutral
183,tim burton support blacklivesmatt caus never seen black charact,neutral
184,hush money one woman prove system racism workplac kept job jacqui abram httpstco36hjnbiltn,neutral
185,may 19 1918 mari turner pregnant lynch georgia publicli critic husband lynch ushistori httpstcohdyzmpkgwx,neutral
186,plea whatev littl guy highli help le fortun 12050100 httpstcoas4fhopwoh,neutral
187,interest develop advanc possibl trailer upcom film excit httpstcoei1ta3er8g,neutral
188,hereonearth7 ye johnandmattiesbabyboy skipper northsid minnflavor blacklivesmatt princ,neutral
189,wed jun 03 2020 orlando florida woman stop polic leav protest polic break car window watch httpstco06anlmi9zl,neutral
190,white guy approach freedom corner said gift evangel invit httpstcovnvnpiqhog,neutral
191,big educ ape week newblackman exil blm blacklivesmatt httpstco5dtqnkqlg1 httpstcozibkwn6ich,neutral
192,blacklivesmatt event anyon need remind black live alway forev matter amen httpstcog1ufk34roz,neutral
193,resist titl singl amaz video gretathunberg corybook thelittleidiot httpstcoa5lxtbanta,neutral
194,here amaz song video polit corrupt gretathunberg corybook thelittleidiot httpstconq1v2yrcsn,neutral
195,bandcamp 399 7 song help rock band progress messag get billboard chart httpstcoxs1r5ymoyl,neutral
196,world premier song safe place video gretathunberg corybook thelittleidiot httpstcoszyis9ptgf,neutral
197,world premier song one sweet video gretathunberg corybook thelittleidiot httpstcozbptr7s6uy,neutral
198,black art mean much special thank revolutionari prison artist joede ladi weekend tote bag httpstcoespfafqxmc,neutral
199,touch song dedic move video gretathunberg corybook thelittleidiot repadamschiff httpstcomoxqk13zb5,neutral
200,awesom video rock song let go strike view gretathunberg corybook thelittleidiot httpstcolzqcdaeten,neutral
201,sweet move rock song side new video gretathunberg corybook thelittleidiot repadamschiff httpstco3zz20fnwhf,neutral
202,elda1971 projectlincoln januari 6th democrat plan carri known blacklivesmatt activist httpstcosgwgmhi6vl,neutral
203,came conclus studi lynch amp antilgbt violenc httpstcob4fec8yxdp connect rever httpstcobecwmo4knh,neutral
204,relat httpstco6knex2vwj1 blacklivesmatt terrancecrutch amirlock endgunviol whitesupremacyisterror mikebloomberg,neutral
205,michel cusseaux chang lock home door polic arriv take mental health facil httpstco1kumscm8wb,neutral
206,blacklivesmatt rich,neutral
207,bless need use religion polit cover useless amp corrupt polit httpstcosmkck5n7zv,neutral
208,betti jone answer door let chicago polic offic help upstair neighbor call 911 httpstcotjswg439dk,neutral
209,say name willi demetriu jame 20160602 blacklivesmatt,neutral
210,bullshit everyon deserv get type help need regardless race cultur skin colour httpstcoxsunozpgan,neutral
211,anton de kom surinam anticoloni leader peopl historian larg condemn obscur httpstcojdzkrp2ch6,neutral
212,howard thurman deathdat anniversari blacklivesmatt civilright blm spiritu readersofinstagram httpstcobf49hsgpud,neutral
213,ding ding ding pennstat blacklivesmatt justiceforal,neutral
214,white privileg black blacklivesmatt whiteprivileg httpstcogmleu7n6vm,neutral
215,justintrudeau commit live million tigray face death due impos starvat httpstcoq8dgvrpa30,neutral
216,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstco2xctguvek9,neutral
217,hill2727 music ipseiti freddiefan75 jewsbury333 peter c hansen kelliesalom okay tweet httpstcomvhcxsjcv5,neutral
218,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcoiwgrgyidso,neutral
219,reason mani white peopl refus acknowledg fact white privileg exist want httpstcol7h6qzciam,neutral
220,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcomteu2ziucn,neutral
221,blacklivesmatt yellow live dont standwithshanghai httpstco17krqjhezu,neutral
222,ahmaud arberi blacklivesmatt,neutral
223,jeremiahtv indivisibletx24 thank stand christian nationalist southlak gatewayslk usin httpstcouzasqx15m7,neutral
224,bernicek potu vp speakerpelosi theblackcaucu repair damag countri inflict still httpstcoynapbtzdb1,neutral
225,ima1x ikr absolut jobless racist behaviour clearli dont stand blacklivesmatt,neutral
226,blacklivesmatt right,neutral
227,zuhair 0396 earth would write someth like feel bad racism toler like blacklivesmatt,neutral
228,fri may 29 2020 new york citi new york polic drive man hit car door watch httpstco7q4tqh8pmt,neutral
229,majic945 drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstcoqantqgil8h,neutral
230,truli disgust bunch mention articl made comment joke violen httpstcosa0mggzmid,neutral
231,noth bring joy see kid smile need support keep smile face live httpstcodh7p7zzjkd,neutral
232,thejerryjon drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstco7d6qrtflyu,neutral
233,laurawbush drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstco0tpn2xkkwg,neutral
234,worldwid scandal theyr tri hide world releasethe4fil belfast scandal week94 httpstcoehems5ah9a,neutral
235,thehil potu vp speakerpelosi theblackcaucu repair damag countri inflict still infli httpstco33bahr5xth,neutral
236,academi ban smith oscar 10 year mentalhealth therapi well psycholog selfcar httpstcootju9cgdlw,neutral
237,bernicek spelmancolleg potu vp speakerpelosi theblackcaucu repair damag countri inflict httpstcovheb0h7icj,neutral
238,willienelson drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstcoy7edeuom8z,neutral
239,boycottnestl share anoth lip sync tiktok read care share httpstcoxcmq6v3gsb,neutral
240,lot black immigr men headlin relat kill see hardwork degre httpstco2zjxn4v9b9,neutral
241,emmittsmith22 drshariss plea come texa jam health fairblacklivesmatt implicitbia httpstcobbpkcyc1qx,neutral
242,bbcworld lfoxnewssunday pm imrankhan let murdochguttermedia foxnew amp borisjohnsonout london httpstcotppjsacejo,neutral
243,swish41 plea come texa jam health fair sat june 18 blacklivesmatt strokeawar implicitbia httpstcopjdoc8dsam,neutral
244,antifat like support shitlib account blacklivesmatt even neonazi fl httpstcoc8klynul42,neutral
245,madgeneus2 samscot91366098 1984 greg question racist bring racist blacklivesmatt,neutral
246,check whuttv free find root sneak peak httpstcopfezhewdea eventbrit blacktwitt httpstcoujstsacssl,neutral
247,theresist blacklivesmatt votebluein2022 rage brother huffman httpstcojqetklbtdf,neutral
248,ghost full length 4k 43 remast michael jackson 1996 unoffici releas label youtub httpstco4vdzvcrzo0,neutral
249,listen man stop play victim black life actual matter blm blacklivesmatt httpstcos9lp8opvnr,neutral
250,come neocoloni africa nightmar long africa rememb breakthesil nomor httpstcouwzxgxcxu2,neutral
251,ding ding pennstat blacklivesmatt justiceforal,neutral
252,confeder gener robert e lee address proslaveri armi last time otd 1865 day httpstcodjagayz6da,neutral
253,blacklivesmatt blackvoicesmatt blackchildrenmatt join movement make sure need voic httpstcoguv1drt1gf,neutral
254,museum reclaim urban space morusnyc come open today sunday 7pm 155 ave c nyc httpstcogpksqruspk,neutral
255,poor peopl campaign palm sunday servic httpstcoafp2tjnqpi via youtub poorpeoplescampaign httpstcoakuyoyy5sr,neutral
256,touch word deliv rare human congrat justiceketanji representationmatt blacklivesmatt blackwomenaresuprem,neutral
257,bee papaya that fuck blacklivesmatt,neutral
258,thehil potu vp speakerpelosi theblackcaucu repair damag countri inflict still infli httpstcojeksnyn7fh,neutral
259,bisexu girl face abus live condit face threat lose home plea help httpstcoxm4urgyamw,neutral
260,repmalinowski illadvis sanction bill drive ethiopia hand china limit trade httpstcofckx8hogrl,neutral
261,sanction blunt ineffect polici tool impos insuffici cost target govern disprop httpstcotju4emdrmw,neutral
262,rememb take time today selfcaresunday cannabisadvoc thc httpstco8sbxaa5tlm,neutral
263,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcoiabjfwqedh,neutral
264,georgefloyd blacklivesmatt charad show world american propaganda impact world mi httpstcoszrhs1gupi,neutral
265,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstco0kzzd54sjr,neutral
266,offici longer support blacklivesmatt,neutral
267,anngarrison drtedro hrw leav anngarrison aka gener fano wrap mind ar httpstcoanceknxbpi,neutral
268,protect black peopl like protect endang speci httpstcojyrq0fdpvl blacklivesmatt httpstco2ia5nuvlsq,neutral
269,america toxic poison wonder poor peopl live rasdawa httpstco7zygephaco,neutral
270,mon jan 01 1900 houston texa offic push protest film watch httpstcobcqlxnyopn httpstcoaszrtvtvmq,neutral
271,jimmi bulter boy dead meme dead blacklivesmatt httpstcodokluojn4b,neutral
272,listen share rockford read daili podcast 059 woman race class angela davi spotifi httpstcoiu9b8c9oau,neutral
273,sometim research realiz data differ depend countri put httpstconhofyg0m19,neutral
274,buffalo cop push 75 year old martin gugino ground clear wrongdo arbitr wonder peopl httpstcowpkxdejssf,neutral
275,blacklivesmatt becom evil corpor clinton foundat oper lawyer httpstcogex7liphlc,neutral
276,shit could demand height blacklivesmatt movement liter anyth mf httpstcouqkw1mbrbi,neutral
277,two type black peopl one want talk chri one want httpstcothzjdwvaj,neutral
278,lyoya came unit state famili seven year ago flee violenc democrat republ co httpstcoazm9uct2ii,neutral
279,sinc democrat say mean regardless vote life matter ha httpstcotggsilwmij,neutral
280,m7mdkurd blacklivesmatt slogan equal live matter u palestin un israel wan na genocid nativ palestinian,neutral
281,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcobqxpqozvmw,neutral
282,freedom honour human gore glori freedom hymn holler freedom sim httpstco2buocrbha5,neutral
283,chucktodd use overdrawn check account meetthepress msnbc nbcnew blacklivesmatt httpstco3tqt2akkbu,neutral
284,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstco5x6drvm7zl,neutral
285,live podcast 10042022 spreaker blacklivesmatt speakingout theburningtruth wingingit wrestl httpstcohutnz14gif,neutral
286,ding pennstat blacklivesmatt justiceforal,neutral
287,listen share rockford read daili podcast 059 woman race class angela davi appl httpstcow7l4xfvr3m,neutral
288,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcomwm9s24hqt,neutral
289,free black man write surrend soulwork tongueclick bombfemm torch song mourni httpstco6906stnrhi,neutral
290,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcognbgjf6fwp,neutral
291,free black man although memori ancient map new dream cartographi smootha httpstcobeoe2mmk7u,neutral
292,alaska yupik cultur wtpblue demvoice1 american onev1 freshresist freshvoicesris dems4usa httpstcoxplmxu7rec,neutral
293,smith could gone defer way chri rock nobodi perfect black kill black httpstcoqxgnhhokm2,neutral
294,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcooiwuiqwquh,neutral
295,hard question day white make one unabl admit white peopl neg impa httpstcolqrdxgqjit,neutral
296,blacklivesmatt african love black foreign african brother sister uhur httpstcoir0np25scd,neutral
297,gateway week 7 know love jesu christ laid life u ought lay dow httpstcori6gm94ljb,neutral
298,marvel black panther music video httpstcoumjeahhanh via youtub blacktwitt blacklivesmatt,neutral
299,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcobuwq1azs8d,neutral
300,nahamsec udemi alreadi access bro blacklivesmatt,neutral
301,bobbi rus saytheirnam blacklivesmatt,neutral
